"tree_ID","ply_model","species","intercept_hol","slope_hol","r2_hol","p_hol","intercept_rot","slope_rot","r2_rot","p_rot","intercept_alld","slope_alld","r2_alld","p_alld"
"16_lower","AM3_iron_ranges_boundary_lower.0209","Eucalyptus tetrodonta",6.00969102761663,-0.00321287328982842,0.000125673103426896,0.983185102063547,2.60729704667115,-0.0371369199052101,0.11442048375624,0.511960537058997,8.61698807428778,-0.0403497931950385,0.0110408244634213,0.842967067772277
"6_lower","AM3_iron_ranges_boundary_lower.0219","Corymbia tessellaris",-0.235661637632612,0.0294043911519642,0.798657438719431,0.0163560949465921,-0.0844984906128434,0.00730474812630598,0.188282914051406,0.389975777688166,-0.320160128245456,0.0367091392782701,0.715161443574033,0.0338877934212454
"8_lower","AM3_iron_ranges_boundary_lower.0240","Corymbia sp. (clarksoniana/novoguinensis) ",-0.145389999419906,0.0131184968303149,0.298724834833662,0.340495974631225,0,0,NA,NA,-0.145389999419906,0.0131184968303149,0.298724834833662,0.340495974631225
"Test","AM3_iron_ranges_boundary_lower.0241","Corymbia sp. (clarksoniana/novoguinensis) ",-5.23165375884935,0.895507383200346,0.485203846405255,0.191250416327073,0,0,NA,NA,-5.23165375884935,0.895507383200346,0.485203846405255,0.191250416327073
"17_lower","AM3_iron_ranges_boundary_lower.0299","Corymbia sp. (clarksoniana/novoguinensis) ",0,0,NA,NA,2.10732263219168,1.95905866684409,0.396779099600934,0.254735274380062,2.10732263219168,1.95905866684409,0.396779099600934,0.254735274380062
"Extra7_lower","AM3_iron_ranges_boundary_lower.0302","Corymbia sp. (clarksoniana/novoguinensis) ",-6.60985241925594,0.849021820057596,0.757868170551858,0.0240490702005764,0.0330674591450988,0.000164547949532306,8.03120219315799e-05,0.98655781362857,-6.57678496011084,0.849186368007129,0.765642942914025,0.0224573330558315
"18_lower","AM3_iron_ranges_boundary_lower.0316","Eucalyptus tetrodonta",-0.242905058864845,0.0385787368545982,0.25223731335253,0.388542558091303,0.0542588857317223,0.0999496291732529,0.339503164738371,0.302551471677844,-0.188646173133123,0.138528366027851,0.71507530977669,0.0711039279591014
"Extra3_lower","AM3_iron_ranges_boundary_lower.0367","Planchonia careya",-2.36890245489265,0.280987780527074,0.530694357009497,0.480447071178326,-1.26483451832856,0.305803507405819,0.220077783425804,0.689139110787026,-3.63373697322121,0.586791287932893,0.780213892721068,0.310636738224482
"13_lower","AM3_iron_ranges_boundary_lower.0385","Lophostemon suaveolens",0,0,NA,NA,0.427051861681746,0.077014878215253,0.213476452644238,0.537964879425559,0.427051861681746,0.077014878215253,0.213476452644238,0.537964879425559
"3_lower","AM3_iron_ranges_boundary_lower.0582","Eucalyptus tetrodonta",-0.285127857517738,0.0231349809808077,0.28995636833269,0.270353315782117,-6.51027026173427,0.518259062726938,0.742850724115244,0.0272951936759851,-6.79539811925201,0.541394043707746,0.759285102273939,0.0237544991948674
