tree_id,ply_model,species,dbh_observed_cm_tidy,stump_ABG_dry_weight_kg,new_cyl_vol_HFB_L,dry_density_published,wd_species_level_field,sd,paul_2016_type_c,paul_2013_universal_dbh_c,brown_c,willams_woodland_c,chave_lit_dens_c_kg,chave_scaled_dens_c_kg,TLS_ABG_dry_lit_dens_kg,TLS_est_ABG_dry_scaled_kg,obs_ABG_dry_kg,williams,paul2016,paul2013,brown,chave_L,chave_F,TLS_L,TLS_F
Planch7_lower,AM3_iron_ranges_boundary_lower.1052,Planchonia careya,9.9,0,34.739,0.6458,0.513332816370833,0.0516890920801603,30.866,29.507,27.752,32.561,29.44,24.14,22.43275258,18.31488721,14.685,32.5607414166162,30.8658880733011,29.5072900014157,27.7519218698659,29.4235887081084,23.5174053926667,22.4344462,17.8326687079064
Extra4_lower,AM3_iron_ranges_boundary_lower.1108,Timonius timon,8.2,0,9.287,0.551,0.551,NA,19.731,19.24,17.925,20.395,15.62,15.49,5.117523556,5.076819195,8.796,20.3950000387266,19.731181396883,19.2395485917173,17.9253461211316,15.6117551990695,15.6117551990695,5.117137,5.117137
Extra13_lower,AM3_iron_ranges_boundary_lower.1128,Grevillea parallela,7.6,0,54.58,0.68,0.6318911724,0.0681997130228897,16.473,16.191,15.028,16.888,15.8,14.82,37.11458802,34.77708005,12.699,16.8880989387299,16.4731810459255,16.1913957428114,15.0281993298042,15.7937089667358,14.7021992936524,37.1144,34.488620189592
Extra6_lower,AM3_iron_ranges_boundary_lower.1153,Planchonia careya,6.7,0,26.855,0.6458,0.513332816370833,0.0516890920801603,12.212,12.163,11.218,12.35,10.89,8.92,17.34168496,14.1531599,7.38,12.3497701923774,12.2116077613784,12.1626227227847,11.2179359224589,10.882456625678,8.6980261542214,17.342959,13.7855527836387
Planch6_lower,AM3_iron_ranges_boundary_lower.1390,Planchonia careya,8.5,5.03,22.297,0.6458,0.513332816370833,0.0516890920801603,16.46,15.846,14.455,17.27,14.95,11.41,14.39818979,11.79169446,15.754,17.2683469246202,16.4589471812466,15.8446111691633,14.4536949056876,14.944481391916,10.93501300579,14.3994026,11.4457818066205
Planch5_lower,AM3_iron_ranges_boundary_lower.1436,Planchonia careya,6.3,0,18.317,0.6458,0.513332816370833,0.0516890920801603,10.551,10.576,9.725,10.599,9.3,7.67,11.8279881,9.709999598,5.641,10.5992479542548,10.5506446188581,10.5764636355936,9.72499725538812,9.29518407294971,7.42936608486432,11.8291186,9.40271719746455
Extra8_lower,AM3_iron_ranges_boundary_lower.1454,Grevillea parallela,8.6,3.77,79.903,0.68,0.6318911724,0.0681997130228897,18.323,17.665,16.248,19.184,17.88,16.28,54.33432526,50.25355191,17.477,19.1854408644748,18.324237165806,17.6662551449312,16.2496195330223,17.8708473510967,16.3752395576903,54.33404,50.4900003482772
Extra9_lower,AM3_iron_ranges_boundary_lower.1751,Grevillea parallela,5.5,0,23.64,0.68,0.6318911724,0.0681997130228897,7.642,7.771,7.097,7.565,6.9,5.17,16.07542528,11.9514313,5.11,7.56531695590833,7.64199197660385,7.77071065961616,7.09677199302308,6.89818915149418,6.42145248365555,16.0752,14.937907315536
1_lower,AM3_iron_ranges_boundary_lower.1760,Lophostemon suaveolens,62.7,133.62,2909.329,0.551,0.568797555022222,0.0413758919524916,2340.133,1814.59,1875.848,3052.251,2322.7,2162.81,1603.15675,1497.127303,1750.097,3052.24643408944,2340.12881575568,1814.58543666111,1875.8434323217,2321.23737199385,2398.59769722723,1603.040279,1654.81922195525
5_lower,AM3_iron_ranges_boundary_lower.1973,Planchonia careya,15,18,109.92,0.6458,0.513332816370833,0.0516890920801603,64.81,57.786,54.774,73.37,66,56.19,70.98084,62.52890876,41.365,73.366026729124,64.806023610792,57.7817432413126,54.7697920235013,65.960180520078,49.1068924229499,70.986336,56.425543175482
