"","X","length","radius","unmodradius","surfacecoverage","parent","extension","branch","added","numlayers","meanpointdist","mad","x","y","z","dx","dy","dz","damage_hol","damage_rot","vol_cyl","vol_cyl_d_hol","vol_cyl_d_rot","col_cyl_d_all"
"50",49,0.123552054,0.05989296,0.045007374,0.3175,48,50,4,0,4,0.012153915,-0.0001369271,37.899506,28.103645,117.27543,0.8640431,-0.44795316,0.22971167,0,1.34958166575195,0.00139235954589908,0,1.87910291528011e-05,1.87910291528011e-05
"51",50,0.32398024,0.063811414,0.0632583,0.575,49,51,4,0,3,0.010039019,3.683053e-05,38.041176,28.046423,117.16881,-0.04982958,-0.048958268,0.99755704,0,1.40993751727236,0.00414443308533137,0,5.84339169483355e-05,5.84339169483355e-05
"52",51,0.23100525,0.0635585,0.06312666,0.62,50,52,4,0,3,0.005295474,0.0007294353,38.03387,28.030113,117.49242,-0.06468324,0.05733475,0.99625736,0,1.40604188909058,0.00293169645015761,0,4.12208801501975e-05,4.12208801501975e-05
"53",52,0.22255945,0.06323625,0.06309104,0.7725,51,53,4,0,4,0.0075880303,-0.0001073039,38.016373,28.047924,117.72213,-0.019539746,-0.02713282,0.9994408,0,1.4010782801896,0.00279594180405399,0,3.91733333433418e-05,3.91733333433418e-05
"54",53,0.15946542,0.0648295,0.0650336,0.71,52,54,4,0,3,0.0046324166,8.7838205e-05,38.01203,28.044334,117.94463,-0.0067220214,0.009676361,0.99993056,0,1.4256190711329,0.0021055314750053,0,3.00168582563813e-05,3.00168582563813e-05
"55",54,0.15523964,0.06350962,0.06515117,0.685,53,55,4,0,3,0.0053767073,-4.347675e-06,38.010193,28.046783,118.10407,-0.034598727,-0.0362574,0.9987433,0,1.40528899164115,0.00196712305339079,0,2.76437637213359e-05,2.76437637213359e-05
"56",55,0.20853023,0.06214826,0.06197235,0.7625,54,56,4,0,4,0.005103196,-0.00043257448,38.000046,28.031761,118.25861,-0.03504988,0.03492183,0.9987753,0,1.38431999671972,0.00253032812546471,0,3.50278382234313e-05,3.50278382234313e-05
"57",56,0.17023113,0.064832754,0.064933196,0.825,55,57,4,0,3,0.004056878,-8.8472894e-05,37.987743,28.030363,118.46702,0.0045041945,-0.042655393,0.99907964,0,1.42566919241564,0.00224790418097846,0,3.20476773832329e-05,3.20476773832329e-05
"58",57,0.15288378,0.066009685,0.06652551,0.7425,56,58,4,0,3,0.005126624,-8.635958e-05,37.98885,28.023947,118.63713,-0.068542086,0.029355574,0.9972162,0,1.44379743194219,0.00209279459613696,0,3.02157146348503e-05,3.02157146348503e-05
"59",58,0.21926703,0.06980751,0.07034563,0.7475,57,59,4,0,4,0.009559887,0.0006882514,37.982124,28.031427,118.78976,-0.13109013,0.44313163,0.88681996,0,1.50229523791376,0.00335681572663475,0,5.0429282806774e-05,5.0429282806774e-05
"60",59,0.2171548,0.06227188,0.061530687,0.66,58,60,4,0,4,0.0072860196,-4.650413e-05,37.949287,28.130342,118.98273,-0.37575212,0.40492165,0.8335759,0,1.38622411256872,0.00264547255799887,0,3.66721784903687e-05,3.66721784903687e-05
"61",60,0.22035049,0.056078114,0.055254217,0.8375,59,61,4,0,4,0.006432101,-5.421606e-05,37.876118,28.213894,119.16967,-0.06699726,-0.20795983,0.97584015,0,1.29082168573196,0.00217696121473761,0,2.8100687449807e-05,2.8100687449807e-05
"62",61,0.21556467,0.059024837,0.05899405,0.735,60,62,4,0,4,0.0049008075,-0.00030998728,37.848976,28.16607,119.38342,0.19398685,-0.3363182,0.9215526,0,1.33620998832778,0.00235937541198076,0,3.15262099170366e-05,3.15262099170366e-05
"63",62,0.21641484,0.053299494,0.051199343,0.7675,61,63,4,0,4,0.007362109,3.8231254e-05,37.908237,28.09092,119.57744,0.08552515,0.127944,0.98808694,0,1.24802266955067,0.00193144827797816,0,2.41049123598134e-05,2.41049123598134e-05
"64",63,0.14764977,0.052053813,0.04919435,0.745,62,64,4,0,3,0.007300781,0.00011496237,37.91897,28.11767,119.79207,-0.02397592,-0.14092313,0.9897301,0,1.22883547544866,0.00125686242441917,0,1.54447713488469e-05,1.54447713488469e-05
"65",64,0.19147967,0.051613808,0.049687445,0.8175,63,65,4,0,4,0.0071075177,0.0003474179,37.90419,28.098408,119.93815,0.0645081,0.052245982,0.99654853,0,1.22205808915084,0.00160252327865429,0,1.95837653573199e-05,1.95837653573199e-05
"66",65,0.19759767,0.052782647,0.05023591,0.6025,64,66,4,0,4,0.005047394,4.8114825e-06,37.9029,28.104288,120.130066,-0.038726583,-0.07855357,0.9961574,0,1.24006168779848,0.00172947394530764,0,2.1446543796217e-05,2.1446543796217e-05
"67",66,0.2055281,0.050530374,0.047497015,0.6775,65,67,4,0,4,0.0062437607,-0.00043477112,37.891315,28.09411,120.32717,0.1463864,-0.23710068,0.9603928,0,1.20536998163798,0.00164864103560872,0,1.98722241481931e-05,1.98722241481931e-05
"68",67,0.17850377,0.04818903,0.04576105,0.84,66,68,4,0,4,0.003822083,0.00023989266,37.910625,28.060564,120.52995,-0.048681777,-0.0029918563,0.9988099,0,1.16930631703398,0.00130224780606393,0,1.52272658597419e-05,1.52272658597419e-05
"69",68,0.16671549,0.049848758,0.049251817,0.5,67,69,4,0,3,0.007273866,-0.0010175024,37.92095,28.068695,120.7092,-0.36482233,-0.01763018,0.93091017,0,1.19487106699207,0.00130147104454315,0,1.55509009565255e-05,1.55509009565255e-05
"70",69,0.21140608,0.048119523,0.047094855,0.8675,68,70,4,0,4,0.0041605853,0.00042704958,37.877266,28.055538,120.87092,-0.037694763,0.07287233,0.99662864,0,1.16823570240596,0.00153783582287366,0,1.79655471271985e-05,1.79655471271985e-05
"71",70,0.15366912,0.05573859,0.05744599,0.76,69,71,4,0,3,0.007591771,-3.282274e-06,37.86821,28.066296,121.08191,0.19216335,0.44248953,0.8759431,0,1.28559200582973,0.00149985209334884,0,1.92819786113626e-05,1.92819786113626e-05
"72",71,0.23363557,0.045461573,0.042885467,0.695,70,72,4,0,4,0.009399987,0.0003942559,37.887737,28.14795,121.21181,0.018515445,-0.3704232,0.9286786,0,1.12729536329551,0.0015169726564182,0,1.71007624182631e-05,1.71007624182631e-05
"73",72,0.1472923,0.042925786,0.037453637,0.6525,71,73,4,0,3,0.0071732714,0.000195003,37.884136,28.075756,121.43466,0.013001209,0.025471492,0.999591,0,1.08823669789855,0.00085264142510178,0,9.27875688944274e-06,9.27875688944274e-06
"74",73,0.16595624,0.042790703,0.03933607,0.6925,72,74,4,0,3,0.008686331,0.00025478753,37.887154,28.093,121.581535,-0.11382748,-0.17082167,0.97870487,0,1.08615601773976,0.000954645879344333,0,1.03689436666031e-05,1.03689436666031e-05
"75",74,0.1960661,0.04153877,0.03841253,0.735,73,75,4,0,4,0.007376773,6.348917e-06,37.874172,28.072102,121.74594,-0.3383819,0.22568196,0.9135455,0,1.06687252423403,0.00106281982804329,0,1.13389327275052e-05,1.13389327275052e-05
"76",75,0.14838597,0.041933633,0.03979323,0.58,74,76,4,0,4,0.0075338907,-8.362147e-05,37.807926,28.111164,121.92638,-0.086944245,0.055040695,0.9946915,0,1.07295458940537,0.00081972407934154,0,8.79526712975596e-06,8.79526712975596e-06
